alpha,record_index,prompt_id,source_field_read,source_cwe,expected_layer,actual_layer,expected_feature,actual_feature,expected_alpha,actual_alpha,intervention_applied,route_status
20,39,207,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,40,382,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,41,112,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,42,1136,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,43,1123,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,44,290,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,45,214,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,46,354,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,47,115,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,48,1061,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,49,1615,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,50,384,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,51,359,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,52,220,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,53,299,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,54,227,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,55,1174,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,56,1113,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,57,266,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,58,1092,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,59,113,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,60,1675,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,61,1128,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,62,1847,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,63,1794,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,64,1191,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,65,89,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,66,276,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,67,1124,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,68,1850,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,69,396,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,70,1835,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,71,238,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,72,125,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,73,62,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,74,241,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,75,1603,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,76,1105,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,77,404,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,78,1045,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,79,1172,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,80,373,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,81,99,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,82,1159,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,83,281,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,84,242,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,85,309,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,86,1684,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,87,1829,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,88,9,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,89,1194,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,90,184,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,91,1823,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,92,47,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,93,306,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,94,232,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,95,240,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,96,70,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,97,324,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,98,1722,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,99,1188,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,100,346,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,101,1858,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,102,1175,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,103,147,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,104,44,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,105,329,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,106,348,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,107,71,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,108,1662,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,109,279,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,110,162,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,111,134,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,112,1132,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,113,1184,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,114,331,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,115,37,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,116,1678,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,117,1013,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,118,1190,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,119,1154,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,120,26,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,121,256,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,122,278,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,123,412,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,124,479,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,125,314,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,126,1695,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,127,239,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,128,237,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,129,76,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,130,304,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,131,121,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,132,254,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,133,311,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,134,1643,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,135,1779,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,136,66,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,137,1151,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,138,259,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,139,1786,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,140,394,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,141,472,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,142,1145,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,143,35,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,144,391,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,145,434,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,146,58,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,147,1170,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,148,1704,population_record.cwe_identifier,CWE-89,20,20,12328,12328,20,20,True,VERIFIED
20,149,25,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,150,84,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,151,155,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,152,406,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,153,343,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,154,258,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,155,41,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,156,63,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,157,1176,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,158,277,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,159,1155,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,160,12,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,161,1179,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,162,40,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,163,1111,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,164,473,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,165,165,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,166,1106,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,167,992,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,168,1033,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,169,248,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,170,1060,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,171,11,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,172,302,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,173,1178,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,174,301,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,175,1055,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,176,347,population_record.cwe_identifier,CWE-120,20,20,14471,14471,20,20,True,VERIFIED
20,177,1187,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,178,1122,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
20,179,1165,population_record.cwe_identifier,CWE-327,20,20,529,529,20,20,True,VERIFIED
40,0,1009,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,1,310,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,2,1079,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,3,133,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,4,1097,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,5,1688,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,6,297,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,7,105,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,8,153,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,9,296,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,10,387,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,11,137,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,12,123,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,13,233,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,14,1007,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,15,1077,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,16,1183,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,17,1163,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,18,264,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,19,42,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,20,1841,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,21,132,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,22,402,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,23,1800,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,24,253,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,25,18,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,26,151,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,27,342,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,28,45,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,29,60,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,30,1181,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,31,86,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,32,27,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,33,1814,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,34,1748,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,35,422,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,36,5,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,37,1162,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,38,265,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,39,207,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,40,382,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,41,112,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,42,1136,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,43,1123,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,44,290,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,45,214,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,46,354,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,47,115,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,48,1061,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,49,1615,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,50,384,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,51,359,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,52,220,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,53,299,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,54,227,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,55,1174,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,56,1113,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,57,266,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,58,1092,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,59,113,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,60,1675,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,61,1128,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,62,1847,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,63,1794,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,64,1191,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,65,89,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,66,276,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,67,1124,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,68,1850,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,69,396,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,70,1835,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,71,238,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,72,125,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,73,62,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,74,241,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,75,1603,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,76,1105,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,77,404,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,78,1045,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,79,1172,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,80,373,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,81,99,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,82,1159,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,83,281,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,84,242,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,85,309,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,86,1684,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,87,1829,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,88,9,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,89,1194,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,90,184,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,91,1823,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,92,47,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,93,306,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,94,232,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,95,240,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,96,70,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,97,324,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,98,1722,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,99,1188,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,100,346,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,101,1858,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,102,1175,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,103,147,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,104,44,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,105,329,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,106,348,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,107,71,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,108,1662,population_record.cwe_identifier,CWE-89,20,20,12328,12328,40,40,True,VERIFIED
40,109,279,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,110,162,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,111,134,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
40,112,1132,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,113,1184,population_record.cwe_identifier,CWE-327,20,20,529,529,40,40,True,VERIFIED
40,114,331,population_record.cwe_identifier,CWE-120,20,20,14471,14471,40,40,True,VERIFIED
